NRORDEM,IDPEDIDOPNEU,CLIENTE,NRSERIE,DESENHO,STATUS,DATA_ENTRADA,DATA_SAIDA,LOCAL_PALLET
1663665,367019,AMBIENTAL TRANSPORTES URBANOS S/A,63209,"295/80R22,5 PM DVUM3 250",Aguardando,05/06/2026,,
1663751,367033,VIAÇÃO METROPOLE PAULISTA S/A - A.E CARVALHO,443258,"295/80R22,5 PM DVUM3 B 250",Aguardando,05/06/2026,,
1663749,367033,VIAÇÃO METROPOLE PAULISTA S/A - A.E CARVALHO,442724,"295/80R22,5 PM DVUM3 B 250",Aguardando,05/06/2026,,
1663748,367033,VIAÇÃO METROPOLE PAULISTA S/A - A.E CARVALHO,443507,"295/80R22,5 PM DVUM3 B 250",Aguardando,05/06/2026,,
1663750,367033,VIAÇÃO METROPOLE PAULISTA S/A - A.E CARVALHO,443485,"295/80R22,5 PM DVUM3 B 250",Aguardando,05/06/2026,,
1663831,367046,LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMERCIO S A,203420,"275/80R22,5 PM VL110LA 242",Aguardando,05/06/2026,,
1663832,367046,LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMERCIO S A,203419,"275/80R22,5 PM VL110LA 242",Aguardando,06/06/2026 18:44:56,,A1
1663830,367046,LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMERCIO S A,2025,"275/80R22,5 PM VL110LA 242",Aguardando,05/06/2026,,
1663835,367046,LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMERCIO S A,1625,"275/80R22,5 PM VT120L 242",Aguardando,05/06/2026,,
1663836,367046,LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMERCIO S A,1625a,"275/80R22,5 PM VT120L 242",Aguardando,05/06/2026,,
1663837,367046,LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMERCIO S A,1625b,"275/80R22,5 PM VT120L 242",Aguardando,05/06/2026,,
1663838,367046,LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMERCIO S A,1625c,"275/80R22,5 PM VT120L 242",Aguardando,05/06/2026,,
1663834,367046,LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMERCIO S A,202689,"275/80R22,5 PM VL110LA 242",Aguardando,05/06/2026,,
1663833,367046,LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMERCIO S A,2424,"275/80R22,5 PM VL110LA 242",Aguardando,05/06/2026,,
1663883,367054,RODOVIARIO SHALLOON DE GUARULHOS LOGS E TRANSP EIRELI,34863,"295/80R22,5 PM VL110LA 242",Aguardando,05/06/2026,,
1663884,367054,RODOVIARIO SHALLOON DE GUARULHOS LOGS E TRANSP EIRELI,34849,"295/80R22,5 PM VL110LA 226",Aguardando,05/06/2026,,
1663885,367054,RODOVIARIO SHALLOON DE GUARULHOS LOGS E TRANSP EIRELI,34851,"295/80R22,5 PM VL110LA 226",Aguardando,05/06/2026,,
1664060,367079,NOVA OPÇÃO SERVIÇOS DE LIMPEZA URBANO EIRELI,4223,"295/80R22,5 PM PBA64-S 235",Aguardando,05/06/2026,,
1664065,367079,NOVA OPÇÃO SERVIÇOS DE LIMPEZA URBANO EIRELI,1222,"295/80R22,5 PM PBA64-S 225",Aguardando,05/06/2026,,
1664079,367079,NOVA OPÇÃO SERVIÇOS DE LIMPEZA URBANO EIRELI,321,"295/80R22,5 PM PBA64-S 235",Aguardando,05/06/2026,,
1664070,367079,NOVA OPÇÃO SERVIÇOS DE LIMPEZA URBANO EIRELI,4423,"295/80R22,5 PM PBA64-S 235",Aguardando,05/06/2026,,
